INFO: Pandarallel will run on 8 workers.
INFO: Pandarallel will use Memory file system to transfer data between the main process and workers.
{"event": "eval_start", "selected": 7, "resume_committed": 0, "committed_errors": 0, "crash_only_resume": false}
2026-08-13 18:04:43.531 | DEBUG    | eval.evaluation.data_loader:extract_dataframe:167 - find markdown_str 
| 产品系列 | 产品名称 | 芯片名称 | 发布日期 | 总线接口 | 显存容量 | 显存类型 | 显存位宽 | 核心频率( ...
2026-08-13 18:04:59.813 | INFO     | eval.evaluation.metric_utils:primary_key_preprocess:246 - primary_key_preprocess result: ```json
{
  "RIVA 128": "Riva 128",
  "GeForce 6600 GT": "GeForce 6600 GT",
  "GeForce 6800": "GeForce 6800",
  "GeForce 6800 GT": "GeForce 6800 GT",
  "GeForce 6800 Ultra": "GeForce 6800 Ultra",
  "GeForce 7300 GT": "GeForce 7300 GT",
  "GeForce 7600 GT": "GeForce 7600 GT",
  "GeForce 7800 GT": "GeForce 7800 GT",
  "GeForce 7800 GTX": "GeForce 7800 GTX",
  "GeForce 7800 GTX 512": "GeForce 7800 GTX 512",
  "GeForce 7900 GT": "GeForce 7900 GT",
  "GeForce 7900 GTX": "GeForce 7900 GTX",
  "GeForce 7950 GX2": "GeForce 7950 GX2",
  "GeForce 8500 GT": "GeForce 8500 GT",
  "GeForce 8600 GT": "GeForce 8600 GT",
  "GeForce 8600 GTS": "GeForce 8600 GTS",
  "GeForce 8800 GTX": "GeForce 8800 GTX",
  "GeForce 8800 Ultra": "GeForce 8800 Ultra",
  "GeForce 9600 GT": "GeForce 9600 GT",
  "GeForce 9800 GTX": "GeForce 9800 GTX",
  "GeForce 9800 GX2": "GeForce 9800 GX2",
  "GeForce GTX 260": "GeForce GTX 260",
  "GeForce GTX 275": "GeForce GTX 275",
  "GeForce GTX 280": "GeForce GTX 280",
  "GeForce GTX 285": "GeForce GTX 285",
  "GeForce GTX 295": "GeForce GTX 295",
  "GeForce GTX 460": "GeForce GTX 460",
  "GeForce GTX 470": "GeForce GTX 470",
  "GeForce GTX 480": "GeForce GTX 480",
  "GeForce GTX 560 Ti": "GeForce GTX 560 Ti",
  "GeForce GTX 570": "GeForce GTX 570",
  "GeForce GTX 580": "GeForce GTX 580",
  "GeForce GTX 590": "GeForce GTX 590",
  "GeForce GTX 650 Ti": "GeForce GTX 650 Ti",
  "GeForce GTX 660": "GeForce GTX 660",
  "GeForce GTX 670": "GeForce GTX 670",
  "GeForce GTX 680": "GeForce GTX 680",
  "GeForce GTX 690": "GeForce GTX 690",
  "GeForce GTX 750 Ti": "GeForce GTX 750 Ti",
  "GeForce GTX 760": "GeForce GTX 760",
  "GeForce GTX 770": "GeForce GTX 770",
  "GeForce GTX 780": "GeForce GTX 780",
  "GeForce GTX 780 Ti": "GeForce GTX 780 Ti",
  "GeForce GTX Titan": "GeForce GTX TITAN",
  "GeForce GTX Titan Black": "GeForce GTX TITAN BLACK",
  "GeForce GTX Titan Z": "GeForce GTX TITAN Z",
  "GeForce GTX 950": "GeForce GTX 950",
  "GeForce GTX 960": "GeForce GTX 960",
  "GeForce GTX 970": "GeForce GTX 970",
  "GeForce GTX 980": "GeForce GTX 980",
  "GeForce GTX 980 Ti": "GeForce GTX 980 Ti",
  "GeForce GTX Titan X": "GeForce GTX TITAN X",
  "GeForce GTX 1050": "GeForce GTX 1050",
  "GeForce GTX 1050 Ti": "GeForce GTX 1050 Ti",
  "GeForce GTX 1060 3GB": "GeForce GTX 1060 3 GB",
  "GeForce GTX 1060 6GB": "GeForce GTX 1060 6 GB",
  "GeForce GTX 1070": "GeForce GTX 1070",
  "GeForce GTX 1070 Ti": "GeForce GTX 1070 Ti",
  "GeForce GTX 1080": "GeForce GTX 1080",
  "GeForce GTX 1080 Ti": "GeForce GTX 1080 Ti",
  "NVIDIA Titan X": "TITAN X Pascal",
  "NVIDIA Titan Xp": "TITAN Xp",
  "GeForce GTX 1650": "GeForce GTX 1650",
  "GeForce GTX 1650 SUPER": "GeForce GTX 1650 SUPER",
  "GeForce GTX 1660": "GeForce GTX 1660",
  "GeForce GTX 1660 SUPER": "GeForce GTX 1660 SUPER",
  "GeForce GTX 1660 Ti": "GeForce GTX 1660 Ti",
  "GeForce RTX 2060": "GeForce RTX 2060",
  "GeForce RTX 2060 SUPER": "GeForce RTX 2060 SUPER",
  "GeForce RTX 2070": "GeForce RTX 2070",
  "GeForce RTX 2070 SUPER": "GeForce RTX 2070 SUPER",
  "GeForce RTX 2080": "GeForce RTX 2080",
  "GeForce RTX 2080 SUPER": "GeForce RTX 2080 SUPER",
  "GeForce RTX 2080 Ti": "GeForce RTX 2080 Ti",
  "NVIDIA Titan RTX": "TITAN RTX",
  "GeForce RTX 3050 8GB": "GeForce RTX 3050 8 GB",
  "GeForce RTX 3050 6GB": "GeForce RTX 3050 6 GB",
  "GeForce RTX 3060 Ti": "GeForce RTX 3060 Ti",
  "GeForce RTX 3070": "GeForce RTX 3070",
  "GeForce RTX 3070 Ti": "GeForce RTX 3070 Ti",
  "GeForce RTX 3080 10GB": "GeForce RTX 3080",
  "GeForce RTX 3080 12GB": "GeForce RTX 3080 12 GB",
  "GeForce RTX 3080 Ti": "GeForce RTX 3080 Ti",
  "GeForce RTX 3090": "GeForce RTX 3090",
  "GeForce RTX 3090 Ti": "GeForce RTX 3090 Ti",
  "GeForce RTX 4060": "GeForce RTX 4060",
  "GeForce RTX 4060 Ti 8GB": "GeForce RTX 4060 Ti 8 GB",
  "GeForce RTX 4060 Ti 16GB": "GeForce RTX 4060 Ti 16 GB",
  "GeForce RTX 4070": "GeForce RTX 4070",
  "GeForce RTX 4070 SUPER": "GeForce RTX 4070 SUPER",
  "GeForce RTX 4070 Ti": "GeForce RTX 4070 Ti",
  "GeForce RTX 4070 Ti SUPER": "GeForce RTX 4070 Ti SUPER",
  "GeForce RTX 4080": "GeForce RTX 4080",
  "GeForce RTX 4080 SUPER": "GeForce RTX 4080 SUPER",
  "GeForce RTX 4090": "GeForce RTX 4090",
  "GeForce RTX 4090 D": "GeForce RTX 4090 D"
}
```
2026-08-13 18:04:59.813 | INFO     | eval.evaluation.evaluation:evaluate_single_query:223 - col: 产品名称, primary_key_map {'RIVA 128': 'Riva 128', 'RIVA 128 ZX': 'Riva 128ZX', 'RIVA TNT': 'Riva TNT', 'Vanta LT': 'Vanta LT', 'RIVA TNT2': 'Riva TNT2', 'RIVA TNT2 Ultra': 'Riva TNT2 Ultra', 'RIVA TNT2 M64': 'Riva TNT2 M64', 'GeForce 256 SDR': 'GeForce 256 SDR', 'GeForce 256 DDR': 'GeForce 256 DDR', 'GeForce2 GTS': 'GeForce2 GTS', 'GeForce2 MX': 'GeForce2 MX', 'GeForce2 Ultra': 'GeForce2 Ultra', 'GeForce2 MX200': 'GeForce2 MX 200', 'GeForce2 MX400': 'GeForce2 MX 400', 'GeForce3': 'GeForce3', 'GeForce3 Ti 200': 'GeForce3 Ti200', 'GeForce3 Ti 500': 'GeForce3 Ti500', 'GeForce4 MX 420': 'GeForce4 MX 420', 'GeForce4 MX 440': 'GeForce4 MX 440', 'GeForce4 MX 460': 'GeForce4 MX 460', 'GeForce4 Ti 4200': 'GeForce4 Ti 4200', 'GeForce4 Ti 4400': 'GeForce4 Ti 4400', 'GeForce4 Ti 4600': 'GeForce4 Ti 4600', 'GeForce FX 5200': 'GeForce FX 5200', 'GeForce FX 5600': 'GeForce FX 5600', 'GeForce FX 5700': 'GeForce FX 5700', 'GeForce FX 5800': 'GeForce FX 5800', 'GeForce FX 5800 Ultra': 'GeForce FX 5800 Ultra', 'GeForce FX 5900': 'GeForce FX 5900', 'GeForce FX 5900 Ultra': 'GeForce FX 5900 Ultra', 'GeForce FX 5950 Ultra': 'GeForce FX 5950 Ultra', 'GeForce 6200': 'GeForce 6200', 'GeForce 6600': 'GeForce 6600', 'GeForce 6600 GT': 'GeForce 6600 GT', 'GeForce 6800': 'GeForce 6800', 'GeForce 6800 GT': 'GeForce 6800 GT', 'GeForce 6800 Ultra': 'GeForce 6800 Ultra', 'GeForce 7300 GT': 'GeForce 7300 GT', 'GeForce 7600 GT': 'GeForce 7600 GT', 'GeForce 7800 GT': 'GeForce 7800 GT', 'GeForce 7800 GTX': 'GeForce 7800 GTX', 'GeForce 7800 GTX 512': 'GeForce 7800 GTX 512', 'GeForce 7900 GT': 'GeForce 7900 GT', 'GeForce 7900 GTX': 'GeForce 7900 GTX', 'GeForce 7950 GX2': 'GeForce 7950 GX2', 'GeForce 8500 GT': 'GeForce 8500 GT', 'GeForce 8600 GT': 'GeForce 8600 GT', 'GeForce 8600 GTS': 'GeForce 8600 GTS', 'GeForce 8800 GTX': 'GeForce 8800 GTX', 'GeForce 8800 Ultra': 'GeForce 8800 Ultra', 'GeForce 9600 GT': 'GeForce 9600 GT', 'GeForce 9800 GTX': 'GeForce 9800 GTX', 'GeForce 9800 GX2': 'GeForce 9800 GX2', 'GeForce GTX 260': 'GeForce GTX 260', 'GeForce GTX 275': 'GeForce GTX 275', 'GeForce GTX 280': 'GeForce GTX 280', 'GeForce GTX 285': 'GeForce GTX 285', 'GeForce GTX 295': 'GeForce GTX 295', 'GeForce GTX 460': 'GeForce GTX 460', 'GeForce GTX 470': 'GeForce GTX 470', 'GeForce GTX 480': 'GeForce GTX 480', 'GeForce GTX 560 Ti': 'GeForce GTX 560 Ti', 'GeForce GTX 570': 'GeForce GTX 570', 'GeForce GTX 580': 'GeForce GTX 580', 'GeForce GTX 590': 'GeForce GTX 590', 'GeForce GTX 650 Ti': 'GeForce GTX 650 Ti', 'GeForce GTX 660': 'GeForce GTX 660', 'GeForce GTX 670': 'GeForce GTX 670', 'GeForce GTX 680': 'GeForce GTX 680', 'GeForce GTX 690': 'GeForce GTX 690', 'GeForce GTX 750 Ti': 'GeForce GTX 750 Ti', 'GeForce GTX 760': 'GeForce GTX 760', 'GeForce GTX 770': 'GeForce GTX 770', 'GeForce GTX 780': 'GeForce GTX 780', 'GeForce GTX 780 Ti': 'GeForce GTX 780 Ti', 'GeForce GTX Titan': 'GeForce GTX TITAN', 'GeForce GTX Titan Black': 'GeForce GTX TITAN BLACK', 'GeForce GTX Titan Z': 'GeForce GTX TITAN Z', 'GeForce GTX 950': 'GeForce GTX 950', 'GeForce GTX 960': 'GeForce GTX 960', 'GeForce GTX 970': 'GeForce GTX 970', 'GeForce GTX 980': 'GeForce GTX 980', 'GeForce GTX 980 Ti': 'GeForce GTX 980 Ti', 'GeForce GTX Titan X': 'GeForce GTX TITAN X', 'GeForce GTX 1050': 'GeForce GTX 1050', 'GeForce GTX 1050 Ti': 'GeForce GTX 1050 Ti', 'GeForce GTX 1060 3GB': 'GeForce GTX 1060 3 GB', 'GeForce GTX 1060 6GB': 'GeForce GTX 1060 6 GB', 'GeForce GTX 1070': 'GeForce GTX 1070', 'GeForce GTX 1070 Ti': 'GeForce GTX 1070 Ti', 'GeForce GTX 1080': 'GeForce GTX 1080', 'GeForce GTX 1080 Ti': 'GeForce GTX 1080 Ti', 'NVIDIA Titan X': 'TITAN X Pascal', 'NVIDIA Titan Xp': 'TITAN Xp', 'GeForce GTX 1650': 'GeForce GTX 1650', 'GeForce GTX 1650 SUPER': 'GeForce GTX 1650 SUPER', 'GeForce GTX 1660': 'GeForce GTX 1660', 'GeForce GTX 1660 SUPER': 'GeForce GTX 1660 SUPER', 'GeForce GTX 1660 Ti': 'GeForce GTX 1660 Ti', 'GeForce RTX 2060': 'GeForce RTX 2060', 'GeForce RTX 2060 SUPER': 'GeForce RTX 2060 SUPER', 'GeForce RTX 2070': 'GeForce RTX 2070', 'GeForce RTX 2070 SUPER': 'GeForce RTX 2070 SUPER', 'GeForce RTX 2080': 'GeForce RTX 2080', 'GeForce RTX 2080 SUPER': 'GeForce RTX 2080 SUPER', 'GeForce RTX 2080 Ti': 'GeForce RTX 2080 Ti', 'NVIDIA Titan RTX': 'TITAN RTX', 'GeForce RTX 3050 8GB': 'GeForce RTX 3050 8 GB', 'GeForce RTX 3050 6GB': 'GeForce RTX 3050 6 GB', 'GeForce RTX 3060 Ti': 'GeForce RTX 3060 Ti', 'GeForce RTX 3070': 'GeForce RTX 3070', 'GeForce RTX 3070 Ti': 'GeForce RTX 3070 Ti', 'GeForce RTX 3080 10GB': 'GeForce RTX 3080', 'GeForce RTX 3080 12GB': 'GeForce RTX 3080 12 GB', 'GeForce RTX 3080 Ti': 'GeForce RTX 3080 Ti', 'GeForce RTX 3090': 'GeForce RTX 3090', 'GeForce RTX 3090 Ti': 'GeForce RTX 3090 Ti', 'GeForce RTX 4060': 'GeForce RTX 4060', 'GeForce RTX 4060 Ti 8GB': 'GeForce RTX 4060 Ti 8 GB', 'GeForce RTX 4060 Ti 16GB': 'GeForce RTX 4060 Ti 16 GB', 'GeForce RTX 4070': 'GeForce RTX 4070', 'GeForce RTX 4070 SUPER': 'GeForce RTX 4070 SUPER', 'GeForce RTX 4070 Ti': 'GeForce RTX 4070 Ti', 'GeForce RTX 4070 Ti SUPER': 'GeForce RTX 4070 Ti SUPER', 'GeForce RTX 4080': 'GeForce RTX 4080', 'GeForce RTX 4080 SUPER': 'GeForce RTX 4080 SUPER', 'GeForce RTX 4090': 'GeForce RTX 4090', 'GeForce RTX 4090 D': 'GeForce RTX 4090 D'}
2026-08-13 18:05:10.729 | INFO     | eval.evaluation.metric_utils:primary_key_preprocess:246 - primary_key_preprocess result: ```json
{
  "NV1": "NV1",
  "NV3": "NV3",
  "NV4": "NV4",
  "NV5": "NV5",
  "NV10": "NV10",
  "NV15": "NV15",
  "NV11": "NV11",
  "NV20": "NV20",
  "NV17": "NV17",
  "NV25": "NV25",
  "NV34": "NV34",
  "NV31": "NV31",
  "NV36": "NV36",
  "NV30": "NV30",
  "NV35": "NV35",
  "NV38": "NV38",
  "NV43": "NV43",
  "NV40": "NV40",
  "G73": "G73",
  "G70": "G70",
  "G71": "G71",
  "G71×2": "G71",
  "G86": "G86",
  "G84": "G84",
  "G80": "G80",
  "G94": "G94",
  "G92": "G92",
  "G92×2": "G92",
  "GT200": "GT200",
  "GT200B": "GT200B",
  "GT200B×2": "GT200B",
  "GF104": "GF104",
  "GF100": "GF100",
  "GF114": "GF114",
  "GF110": "GF110",
  "GF110×2": "GF110",
  "GK106": "GK106",
  "GK104": "GK104",
  "GK104×2": "GK104",
  "GM107": "GM107",
  "GK110": "GK110",
  "GK110B": "GK110B",
  "GK110B×2": "GK110B",
  "GM206": "GM206",
  "GM204": "GM204",
  "GM200": "GM200",
  "GP107": "GP107",
  "GP106": "GP106",
  "GP104": "GP104",
  "GP102": "GP102",
  "TU117": "TU117",
  "TU116": "TU116",
  "TU106": "TU106",
  "TU104": "TU104",
  "TU102": "TU102",
  "GA106": "GA106",
  "GA107": "GA107",
  "GA104": "GA104",
  "GA102": "GA102",
  "AD107": "AD107",
  "AD106": "AD106",
  "AD104": "AD104",
  "AD103": "AD103",
  "AD102": "AD102",
  "AD102-250": "AD102"
}
```
2026-08-13 18:05:10.729 | INFO     | eval.evaluation.evaluation:evaluate_single_query:223 - col: 芯片名称, primary_key_map {'NV1': 'NV1', 'NV3': 'NV3', 'NV4': 'NV4', 'NV5': 'NV5', 'NV10': 'NV10', 'NV15': 'NV15', 'NV11': 'NV11', 'NV20': 'NV20', 'NV17': 'NV17', 'NV25': 'NV25', 'NV34': 'NV34', 'NV31': 'NV31', 'NV36': 'NV36', 'NV30': 'NV30', 'NV35': 'NV35', 'NV38': 'NV38', 'NV43': 'NV43', 'NV40': 'NV40', 'G73': 'G73', 'G70': 'G70', 'G71': 'G71', 'G71×2': 'G71', 'G86': 'G86', 'G84': 'G84', 'G80': 'G80', 'G94': 'G94', 'G92': 'G92', 'G92×2': 'G92', 'GT200': 'GT200', 'GT200B': 'GT200B', 'GT200B×2': 'GT200B', 'GF104': 'GF104', 'GF100': 'GF100', 'GF114': 'GF114', 'GF110': 'GF110', 'GF110×2': 'GF110', 'GK106': 'GK106', 'GK104': 'GK104', 'GK104×2': 'GK104', 'GM107': 'GM107', 'GK110': 'GK110', 'GK110B': 'GK110B', 'GK110B×2': 'GK110B', 'GM206': 'GM206', 'GM204': 'GM204', 'GM200': 'GM200', 'GP107': 'GP107', 'GP106': 'GP106', 'GP104': 'GP104', 'GP102': 'GP102', 'TU117': 'TU117', 'TU116': 'TU116', 'TU106': 'TU106', 'TU104': 'TU104', 'TU102': 'TU102', 'GA106': 'GA106', 'GA107': 'GA107', 'GA104': 'GA104', 'GA102': 'GA102', 'AD107': 'AD107', 'AD106': 'AD106', 'AD104': 'AD104', 'AD103': 'AD103', 'AD102': 'AD102', 'AD102-250': 'AD102'}
2026-08-13 18:05:18.318 | INFO     | eval.evaluation.metric_utils:primary_key_preprocess:246 - primary_key_preprocess result: ```json
{
  "2 MB": "2 MB",
  "4 MB": "4 MB",
  "8 MB": "8 MB",
  "16 MB": "16 MB",
  "32 MB": "32 MB",
  "64 MB": "64 MB",
  "128 MB": "128 MB",
  "256 MB": "256 MB",
  "512 MB": "512 MB",
  "1 GB": "1024 MB",
  "320 MB": "320 MB",
  "640 MB": "640 MB",
  "768 MB": "768 MB",
  "896 MB": "896 MB",
  "1792 MB": "1792 MB",
  "1280 MB": "1280 MB",
  "1536 MB": "1536 MB",
  "2 GB": "2 GB",
  "3 GB": "3 GB",
  "4 GB": "4 GB",
  "6 GB": "6 GB",
  "8 GB": "8 GB",
  "10 GB": "10 GB",
  "11 GB": "11 GB",
  "12 GB": "12 GB",
  "16 GB": "16 GB",
  "24 GB": "24 GB"
}
```
2026-08-13 18:05:18.318 | INFO     | eval.evaluation.evaluation:evaluate_single_query:223 - col: 显存容量, primary_key_map {'2 MB': '2 MB', '4 MB': '4 MB', '8 MB': '8 MB', '16 MB': '16 MB', '32 MB': '32 MB', '64 MB': '64 MB', '128 MB': '128 MB', '256 MB': '256 MB', '512 MB': '512 MB', '1 GB': '1024 MB', '320 MB': '320 MB', '640 MB': '640 MB', '768 MB': '768 MB', '896 MB': '896 MB', '1792 MB': '1792 MB', '1280 MB': '1280 MB', '1536 MB': '1536 MB', '2 GB': '2 GB', '3 GB': '3 GB', '4 GB': '4 GB', '6 GB': '6 GB', '8 GB': '8 GB', '10 GB': '10 GB', '11 GB': '11 GB', '12 GB': '12 GB', '16 GB': '16 GB', '24 GB': '24 GB'}
2026-08-13 18:05:24.084 | INFO     | eval.evaluation.metric_utils:primary_key_preprocess:246 - primary_key_preprocess result: ```json
{
  "64 bit": " 64 bit",
  "128 bit": " 128 bit",
  "256 bit": " 256 bit",
  "320 bit": " 320 bit",
  "384 bit": " 384 bit",
  "448 bit": " 448 bit",
  "512 bit": " 512 bit",
  "192 bit": " 192 bit",
  "352 bit": " 352 bit",
  "96 bit": " 96 bit"
}
```
2026-08-13 18:05:24.084 | INFO     | eval.evaluation.evaluation:evaluate_single_query:223 - col: 显存位宽, primary_key_map {'64 bit': ' 64 bit', '128 bit': ' 128 bit', '256 bit': ' 256 bit', '320 bit': ' 320 bit', '384 bit': ' 384 bit', '448 bit': ' 448 bit', '512 bit': ' 512 bit', '192 bit': ' 192 bit', '352 bit': ' 352 bit', '96 bit': ' 96 bit'}
2026-08-13 18:05:24.100 | INFO     | eval.evaluation.evaluation:evaluate_single_query:275 - wide2deep_ws_zh_007, df_inner shape: (111, 20), answer_df shape: (513, 10), response_df shape: (138, 14)
2026-08-13 18:05:35.954 | DEBUG    | eval.evaluation.evaluation:evaluate_single_query:321 - wide2deep_ws_zh_007, col 产品系列, metric_func_name llm_judge, score [0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2026-08-13 18:05:54.803 | DEBUG    | eval.evaluation.evaluation:evaluate_single_query:321 - wide2deep_ws_zh_007, col 发布日期, metric_func_name llm_judge, score [0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2026-08-13 18:06:05.310 | DEBUG    | eval.evaluation.evaluation:evaluate_single_query:321 - wide2deep_ws_zh_007, col 总线接口, metric_func_name llm_judge, score [0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2026-08-13 18:06:15.372 | DEBUG    | eval.evaluation.evaluation:evaluate_single_query:321 - wide2deep_ws_zh_007, col 显存类型, metric_func_name llm_judge, score [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2026-08-13 18:06:32.453 | DEBUG    | eval.evaluation.evaluation:evaluate_single_query:321 - wide2deep_ws_zh_007, col 核心频率(基础频率), metric_func_name llm_judge, score [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2026-08-13 18:06:43.819 | DEBUG    | eval.evaluation.evaluation:evaluate_single_query:321 - wide2deep_ws_zh_007, col 显存频率, metric_func_name llm_judge, score [1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2026-08-13 18:06:43.848 | INFO     | eval.evaluation.evaluation:evaluate_single_query:380 - wide2deep_ws_zh_007, P/R/F1 by unique_columns: 0.8043/0.2164/0.3410
2026-08-13 18:06:43.849 | INFO     | eval.evaluation.evaluation:evaluate_single_query:383 - wide2deep_ws_zh_007, P/R/F1 by row: 0.0072/0.0019/0.0031
2026-08-13 18:06:43.849 | INFO     | eval.evaluation.evaluation:evaluate_single_query:386 - wide2deep_ws_zh_007, P/R/F1 by item: 0.6667/0.1793/0.2826
2026-08-13 18:06:43.859 | INFO     | eval.evaluation.evaluation:evaluate_single_query:398 - wide2deep_ws_zh_007, final table score: 0.0
{"event": "eval_done", "idx": 1, "instance_id": "wide2deep_ws_zh_007", "score": 0.0, "entity_acc": 1.0, "f1_by_row": 0.003072196620583717, "f1_by_item": 0.282642089093702, "column_f1": 0.3410138248847926, "error": null, "elapsed_seconds": 124.332, "running_n": 1}
2026-08-13 18:06:46.297 | DEBUG    | eval.evaluation.data_loader:extract_dataframe:167 - find markdown_str 
| 医疗机构名称 | 机构地址 | 医疗机构等级 | 联系电话 | 准入技术 |
| --- | --- | --- | -- ...
