opaque_id,Airport,ICAO code,IATA code
task_000000000000000000246379,Houari Boumediene Airport,DAAG,ALG
task_000000000000000000246379,Tunis Carthage International Airport,DTTA,TUN
task_000000000000000000246379,Kigali International Airport,HRYR,KGL
task_000000000000000000246379,Entebbe International Airport,HUEN,EBB
task_00000000000000000024637a,São Paulo/Guarulhos–Governor André Franco Montoro International Airport,SBGR,GRU
task_00000000000000000024637a,El Dorado International Airport,SKBO,BOG
task_00000000000000000024637a,Jorge Chávez International Airport,SPJC,LIM
task_00000000000000000024637a,Comodoro Arturo Merino Benítez International Airport,SCEL,SCL
task_00000000000000000024637a,Mariscal Sucre International Airport,SEQM,UIO
task_00000000000000000024637a,Tancredo Neves International Airport,SBCF,CNF
task_00000000000000000024637a,Porto Alegre-Salgado Filho International Airport,SBPA,POA
task_00000000000000000024637a,Recife/Guararapes - Gilberto Freyre International Airport,SBRF,REC
task_00000000000000000024637b,Auckland International Airport,NZAA,AKL
task_00000000000000000024637b,Sydney Kingsford Smith International Airport,YSSY,SYD
task_00000000000000000024637b,Melbourne Airport,YMML,MEL
task_00000000000000000024637b,Brisbane International Airport,YBBN,BNE
task_00000000000000000024637b,Perth International Airport,YPPH,PER
task_00000000000000000024637b,Adelaide International Airport,YPAD,ADL
task_00000000000000000024637b,Wellington International Airport,NZWN,WLG
task_00000000000000000024637b,Christchurch International Airport,NZCH,CHC
task_00000000000000000024637c,Toronto Pearson International Airport,CYYZ,YYZ
task_00000000000000000024637c,Vancouver International Airport,CYVR,YVR
task_00000000000000000024637c,Mexico City Benito Juárez International Airport,MMMX,MEX
task_00000000000000000024637c,Tocumen International Airport,MPTO,PTY
task_00000000000000000024637c,Juan Santamaría International Airport,MROC,SJO
task_00000000000000000024637c,José Martí International Airport,MUHA,HAV
task_00000000000000000024637c,Punta Cana International Airport,MDPC,PUJ
task_00000000000000000024637c,Philip S. W. Goldson International Airport,MZBZ,BZE
